asset,exchange,timestamp,open,high,low,close,volume
RELIANCE,NSE,2026-07-01 03:45:00+00:00,1298.9,1301.5,1296.5,1301.5,565461
RELIANCE,NSE,2026-07-01 04:00:00+00:00,1301.4,1301.5,1297.0,1298.1,291956
RELIANCE,NSE,2026-07-01 04:15:00+00:00,1298.1,1308.0,1297.6,1307.4,431391
RELIANCE,NSE,2026-07-01 04:30:00+00:00,1307.8,1311.6,1305.5,1306.5,593790
RELIANCE,NSE,2026-07-01 04:45:00+00:00,1306.4,1309.9,1306.0,1306.2,208085
RELIANCE,NSE,2026-07-01 05:00:00+00:00,1306.2,1308.3,1303.0,1303.9,240760
RELIANCE,NSE,2026-07-01 05:15:00+00:00,1303.8,1306.6,1303.1,1306.5,158099
RELIANCE,NSE,2026-07-01 05:30:00+00:00,1306.3,1311.0,1304.5,1310.6,305610
RELIANCE,NSE,2026-07-01 05:45:00+00:00,1310.8,1312.2,1308.0,1309.0,300650
RELIANCE,NSE,2026-07-01 06:00:00+00:00,1309.1,1310.4,1307.5,1310.1,316078
RELIANCE,NSE,2026-07-01 06:15:00+00:00,1310.0,1311.0,1306.7,1308.2,220706
RELIANCE,NSE,2026-07-01 06:30:00+00:00,1308.2,1310.7,1307.2,1309.3,384013
RELIANCE,NSE,2026-07-01 06:45:00+00:00,1309.3,1310.0,1306.5,1307.3,347600
RELIANCE,NSE,2026-07-01 07:00:00+00:00,1307.4,1312.0,1307.3,1309.9,242370
RELIANCE,NSE,2026-07-01 07:15:00+00:00,1310.0,1310.0,1308.2,1308.4,119681
RELIANCE,NSE,2026-07-01 07:30:00+00:00,1308.5,1308.9,1307.4,1307.8,83976
RELIANCE,NSE,2026-07-01 07:45:00+00:00,1307.8,1309.3,1307.8,1308.6,120818
RELIANCE,NSE,2026-07-01 08:00:00+00:00,1308.7,1311.9,1308.0,1310.5,267059
RELIANCE,NSE,2026-07-01 08:15:00+00:00,1310.4,1310.7,1309.0,1310.0,97040
RELIANCE,NSE,2026-07-01 08:30:00+00:00,1309.9,1311.9,1309.7,1310.0,155216
RELIANCE,NSE,2026-07-01 08:45:00+00:00,1310.2,1310.5,1309.1,1310.0,123543
RELIANCE,NSE,2026-07-01 09:00:00+00:00,1309.9,1310.9,1309.1,1310.5,222143
RELIANCE,NSE,2026-07-01 09:15:00+00:00,1310.5,1310.8,1309.3,1309.5,123378
RELIANCE,NSE,2026-07-01 09:30:00+00:00,1309.7,1310.3,1307.4,1308.7,517539
RELIANCE,NSE,2026-07-01 09:45:00+00:00,1308.7,1308.7,1306.1,1306.5,562097
RELIANCE,NSE,2026-07-02 03:45:00+00:00,1310.0,1312.6,1305.3,1309.0,617215
RELIANCE,NSE,2026-07-02 04:00:00+00:00,1309.0,1313.2,1308.5,1312.0,407178
RELIANCE,NSE,2026-07-02 04:15:00+00:00,1312.0,1312.0,1308.0,1309.2,279418
RELIANCE,NSE,2026-07-02 04:30:00+00:00,1309.2,1309.3,1304.1,1305.0,540233
RELIANCE,NSE,2026-07-02 04:45:00+00:00,1305.0,1305.1,1302.1,1304.0,521078
RELIANCE,NSE,2026-07-02 05:00:00+00:00,1304.0,1304.6,1302.4,1303.3,334390
RELIANCE,NSE,2026-07-02 05:15:00+00:00,1303.5,1305.5,1300.5,1302.3,1743857
RELIANCE,NSE,2026-07-02 05:30:00+00:00,1302.0,1305.8,1301.9,1303.9,564167
RELIANCE,NSE,2026-07-02 05:45:00+00:00,1303.8,1305.7,1301.1,1301.6,1211760
RELIANCE,NSE,2026-07-02 06:00:00+00:00,1301.7,1303.0,1299.0,1303.0,644291
RELIANCE,NSE,2026-07-02 06:15:00+00:00,1303.0,1304.4,1302.1,1303.6,990598
RELIANCE,NSE,2026-07-02 06:30:00+00:00,1303.6,1304.6,1302.7,1304.2,878181
RELIANCE,NSE,2026-07-02 06:45:00+00:00,1304.2,1304.8,1303.3,1304.2,957425
RELIANCE,NSE,2026-07-02 07:00:00+00:00,1304.2,1304.2,1302.6,1303.2,434200
RELIANCE,NSE,2026-07-02 07:15:00+00:00,1303.2,1304.1,1301.7,1303.8,383829
RELIANCE,NSE,2026-07-02 07:30:00+00:00,1303.6,1304.7,1302.8,1303.9,467406
RELIANCE,NSE,2026-07-02 07:45:00+00:00,1303.9,1305.2,1303.2,1304.2,822722
RELIANCE,NSE,2026-07-02 08:00:00+00:00,1304.1,1307.0,1303.4,1303.9,627709
RELIANCE,NSE,2026-07-02 08:15:00+00:00,1303.8,1304.9,1303.4,1303.7,394090
RELIANCE,NSE,2026-07-02 08:30:00+00:00,1303.9,1304.6,1303.2,1303.9,430178
RELIANCE,NSE,2026-07-02 08:45:00+00:00,1303.9,1304.8,1303.2,1303.3,435813
RELIANCE,NSE,2026-07-02 09:00:00+00:00,1303.4,1304.5,1303.3,1303.8,338756
